path,label,speaker_id
audio/spoof_0000.wav,1,Alec Guinness
audio/spoof_0001.wav,1,Alec Guinness
audio/spoof_0002.wav,1,Barack Obama
audio/spoof_0003.wav,1,Alec Guinness
audio/bonafide_0000.wav,0,Christopher Hitchens
audio/bonafide_0001.wav,0,Ayn Rand
audio/spoof_0004.wav,1,Barack Obama
audio/bonafide_0002.wav,0,Donald Trump
audio/bonafide_0003.wav,0,Donald Trump
audio/bonafide_0004.wav,0,Alec Guinness
audio/spoof_0005.wav,1,Bernie Sanders
audio/bonafide_0005.wav,0,Christopher Hitchens
audio/bonafide_0006.wav,0,Calvin Coolidge
audio/spoof_0006.wav,1,Alec Guinness
audio/bonafide_0007.wav,0,Barack Obama
audio/spoof_0007.wav,1,Bernie Sanders
audio/spoof_0008.wav,1,Winston Churchill
audio/spoof_0009.wav,1,Winston Churchill
audio/bonafide_0008.wav,0,Donald Trump
audio/spoof_0010.wav,1,Bob Ross
audio/bonafide_0009.wav,0,Donald Trump
audio/spoof_0011.wav,1,Richard Nixon
audio/bonafide_0010.wav,0,2Pac
audio/bonafide_0011.wav,0,Donald Trump
audio/spoof_0012.wav,1,Ronald Reagan
audio/spoof_0013.wav,1,Ayn Rand
audio/bonafide_0012.wav,0,JFK
audio/bonafide_0013.wav,0,Arnold Schwarzenegger
audio/bonafide_0014.wav,0,Nick Offerman
audio/bonafide_0015.wav,0,Bill Clinton
audio/bonafide_0016.wav,0,Martin Luther King
audio/spoof_0014.wav,1,Bill Burr
audio/spoof_0015.wav,1,Ronald Reagan
audio/bonafide_0017.wav,0,Bill Clinton
audio/spoof_0016.wav,1,Alec Guinness
audio/spoof_0017.wav,1,Ayn Rand
audio/bonafide_0018.wav,0,Christopher Hitchens
audio/bonafide_0019.wav,0,Ronald Reagan
audio/bonafide_0020.wav,0,Barack Obama
audio/bonafide_0021.wav,0,Christopher Hitchens
audio/spoof_0018.wav,1,Christopher Hitchens
audio/spoof_0019.wav,1,Donald Trump
audio/spoof_0020.wav,1,Bernie Sanders
audio/spoof_0021.wav,1,Ayn Rand
audio/bonafide_0022.wav,0,Bernie Sanders
